ID,CharacterName,DialogueText,PortraitName,BGMName,BackgroundName
101,“我”,（头好痛……）,Man,Dialoguebefore,Forest_Day
101,“我”,（我努力地试图回想起一些东西，然而此刻徒有一片空白，大脑中的记忆犹如深海上的迷雾一般，触手可及却又难以抓住。）,Man,Dialoguebefore,Forest_Day
101,神秘人,您醒了！,Man,Dialoguebefore,
101,“我”,请问你是……不好意思，我头很痛，好像什么都想不起来了。,Man,Dialoguebefore,
101,神秘人,少主，您辛苦了。烬盟的行事风格一向如此，为了阻止你去那场舞会，他们什么都做得出来，不择手段。,Man,Dialoguebefore,
101,“我”,……这都是些什么和什么？可以说详细一点吗？,Man,Dialoguebefore,
101,神秘人,抱歉，时间很紧，我简单和你描述一下。自魔法诞生于大陆已经过了几百年，目前大陆分裂成苍庭派和烬盟派。苍庭派主张自然生命应与元素平衡；而烬盟派崇尚变革之力，认为魔法和元素就是改造大陆的第一步。,Man,Dialoguebefore,
101,神秘人,两派纷争不断，决定通过这一场假面舞会进行谈判，为保证双方不发生冲突，所有人的魔法力量都凝聚在自己的面具上；您是苍庭派的少主，魔法超凡，而烬盟派试图称霸大陆，想要通过毁掉面具的方式摧毁您的法术，导致苍庭派失去话语权。,Man,Dialoguebefore,
101,神秘人,您的面具上拥有魔法，这是您面具的设计图。您需要复原您的面具，并戴上它参加舞会。,Man,Dialoguebefore,
101,“我”,好像……也许，我明白了一些？可是我怎么复原面具呢，我身边什么东西都没有啊？,Man,Dialoguebefore,
101,神秘人,请您相信我。面具分为五个部分，您需要在房屋内搜集【可能成为面具的原材料】，将它拖拽到您的素材栏里。如果该原材料具备和面具匹配的潜在相似性，那么将素材【拖拽到面具上】，它会通过面具上的魔法，自动地变幻为面具的组成部分。,Man,Dialoguebefore,
101,神秘人,您可以使用我们的桌子作为工作台。根据我们施加的魔法咒语，有一些原材料会自动变幻为您可能需要的材料。,Man,Dialoguebefore,
101,“我”,什么少主？然后呢？为什么要做这些？,Man,Dialoguebefore,
101,神秘人,没有时间了！当您拥有面具的时候，您会知道一切！,Man,Dialoguebefore,
